x,y,r,theta
419,239,100,0
418,239,100,0
418,239,100,0
418,239,100,0
418,239,100,0
418,239,100,0
418,240,100,0
418,240,100,0
418,240,100,0
418,240,100,0
418,240,100,1
418,240,100,1
418,241,100,1
418,241,100,1
418,241,100,1
418,241,100,1
418,241,100,1
418,241,100,1
418,242,100,1
418,242,100,1
418,242,100,2
418,242,100,2
418,242,100,2
418,243,100,2
418,243,100,2
418,243,100,2
418,243,100,2
418,243,100,2
418,243,100,2
418,244,100,2
418,244,100,2
418,244,100,3
418,244,100,3
418,244,100,3
418,244,100,3
418,245,100,3
418,245,100,3
418,245,100,3
418,245,100,3
418,245,100,3
418,245,100,3
418,246,100,4
418,246,100,4
418,246,100,4
418,246,100,4
418,246,100,4
418,247,100,4
418,247,100,4
418,247,100,4
418,247,100,4
418,247,100,4
418,247,100,5
418,248,100,5
418,248,100,5
418,248,100,5
418,248,100,5
418,248,100,5
418,248,100,5
418,249,100,5
418,249,100,5
418,249,100,5
418,249,100,6
418,249,100,6
418,249,100,6
418,250,100,6
418,250,100,6
418,250,100,6
418,250,100,6
418,250,100,6
418,251,100,6
418,251,100,6
418,251,100,7
418,251,100,7
418,251,100,7
418,251,100,7
418,252,100,7
418,252,100,7
418,252,100,7
418,252,100,7
418,252,100,7
418,252,100,7
418,253,100,8
417,253,100,8
417,253,100,8
417,253,100,8
417,253,100,8
417,253,100,8
417,254,100,8
417,254,100,8
417,254,100,8
417,254,100,8
417,254,100,9
417,254,100,9
417,255,100,9
417,255,100,9
417,255,100,9
417,255,100,9
417,255,100,9
417,256,100,9
417,256,100,9
417,256,100,10
417,256,100,10
417,256,100,10
417,256,100,10
417,257,100,10
417,257,100,10
417,257,100,10
417,257,100,10
417,257,100,10
417,257,100,10
417,258,100,11
417,258,100,11
417,258,100,11
417,258,100,11
417,258,100,11
416,258,100,11
416,259,100,11
416,259,100,11
416,259,100,11
416,259,100,11
416,259,100,12
416,259,100,12
416,260,100,12
416,260,100,12
416,260,100,12
416,260,100,12
416,260,100,12
416,260,100,12
416,261,100,12
416,261,100,12
416,261,100,13
416,261,100,13
416,261,100,13
416,262,100,13
416,262,100,13
416,262,100,13
416,262,100,13
416,262,100,13
416,262,100,13
416,263,100,13
416,263,100,14
415,263,100,14
415,263,100,14
415,263,100,14
415,263,100,14
415,264,100,14
415,264,100,14
415,264,100,14
415,264,100,14
415,264,100,14
415,264,100,15
415,265,100,15
415,265,100,15
415,265,100,15
415,265,100,15
415,265,100,15
415,265,100,15
415,266,100,15
415,266,100,15
415,266,100,15
415,266,100,16
415,266,100,16
415,266,100,16
414,267,100,16
414,267,100,16
414,267,100,16
414,267,100,16
414,267,100,16
414,267,100,16
414,268,100,16
414,268,100,17
414,268,100,17
414,268,100,17
414,268,100,17
414,268,100,17
414,269,100,17
414,269,100,17
414,269,100,17
414,269,100,17
414,269,100,17
414,269,100,18
414,270,100,18
413,270,100,18
413,270,100,18
413,270,100,18
413,270,100,18
413,270,100,18
413,271,100,18
413,271,100,18
413,271,100,18
413,271,100,19
413,271,100,19
413,271,100,19
413,272,100,19
413,272,100,19
413,272,100,19
413,272,100,19
413,272,100,19
413,272,100,19
413,273,100,19
412,273,100,20
412,273,100,20
412,273,100,20
412,273,100,20
412,273,100,20
412,274,100,20
412,274,100,20
412,274,100,20
412,274,100,20
412,274,100,20
412,274,100,21
412,274,100,21
412,275,100,21
412,275,100,21
412,275,100,21
412,275,100,21
411,275,100,21
411,275,100,21
411,276,100,21
411,276,100,21
411,276,100,22
411,276,100,22
411,276,100,22
411,276,100,22
411,277,100,22
411,277,100,22
411,277,100,22
411,277,100,22
411,277,100,22
411,277,100,22
411,278,100,23
410,278,100,23
410,278,100,23
410,278,100,23
410,278,100,23
410,278,100,23
410,279,100,23
410,279,100,23
410,279,100,23
410,279,100,23
410,279,100,24
410,279,100,24
410,279,100,24
410,280,100,24
410,280,100,24
409,280,100,24
409,280,100,24
409,280,100,24
409,280,100,24
409,281,100,24
409,281,100,25
409,281,100,25
409,281,100,25
409,281,100,25
409,281,100,25
409,282,100,25
409,282,100,25
409,282,100,25
409,282,100,25
408,282,100,25
408,282,100,26
408,282,100,26
408,283,100,26
408,283,100,26
408,283,100,26
408,283,100,26
408,283,100,26
408,283,100,26
408,284,100,26
408,284,100,26
408,284,100,27
408,284,100,27
407,284,100,27
407,284,100,27
407,285,100,27
407,285,100,27
407,285,100,27
407,285,100,27
407,285,100,27
407,285,100,27
407,285,100,28
407,286,100,28
407,286,100,28
407,286,100,28
406,286,100,28
406,286,100,28
406,286,100,28
406,287,100,28
406,287,100,28
406,287,100,28
406,287,100,29
406,287,100,29
406,287,100,29
406,287,100,29
406,288,100,29
406,288,100,29
405,288,100,29
405,288,100,29
405,288,100,29
405,288,100,29
405,289,100,30
405,289,100,30
405,289,100,30
405,289,100,30
